"","RIPCre.2.1","RIPCre.2.2","RIPCre.2.3","RIPCre.2.4","RIPCre.2.5","RIPCre.2.6","RIPCre.2.7","RIPCre.2.8","RIPCre.2.9","RIPCre.2.10","RIPCre.2.11","RIPCre.2.12","RIPCre.2.13","RIPCre.2.14","RIPCre.2.15","RIPCre.2.17","RIPCre.2.24","RIPCre.2.25","RIPCre.2.26","RIPCre.2.27","RIPCre.2.29","RIPCre.2.31","RIPCre.2.32","RIPCre.2.34","RIPCre.2.43"
"Hspb6",0,0,74.23,0,0,0,0,0,0,78.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hspb7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hspb8",84.11,0,100.21,0,0,0,0,0,0,0,104.52,0,0,112.61,32.89,0,0,173.68,32.14,0,200.74,0,0,0,0
"Hspb9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0
"Hspbap1",0,0,0,13.41,0,0,0,14.79,0,0,0.03,0,0,0,0,0,0.42,0,0,0.11,0,0,13.08,0,0
"Hspbp1",207.77,90.79,96.98,144.11,123.98,200.65,141.72,59.14,169.37,130.43,46.45,260.53,186.54,74.38,0,190.41,109.27,178.02,22.36,153.92,106.71,116.84,61.73,70.01,231.37
"Hspd1",99.76,173.8,116.39,148.04,86.18,204.48,189.1,186.29,53.3,190.2,133.37,232.39,200.43,5.51,26.61,160.57,140.86,10.51,153.7,168.16,167.73,61.58,95.45,60.6,106.15
"Hspe1",251.49,119.28,156.18,110.31,221.66,277.69,235.87,188.31,69.16,181.78,86.02,185.42,218.38,214.01,125.09,204.96,197.15,180.18,113.34,266.04,150.05,162.95,196.91,173.39,337.21
"Hspg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0,0,0,0,0,0,0,0,0
"Hsph1",80.45,144.88,179.65,64.63,73.05,132.8,103.34,128.25,51.28,130.69,98.52,145.78,110.19,143.62,113.89,52.89,115.59,59.25,190.31,82.66,101.89,96.08,87.05,21.85,85.43
"Htatip2",39.62,0,0,7.61,0,0,0,30.62,28.15,13.15,0,0,0,118.13,0,0.22,0,50.39,0,45,42.44,0,0,0,0
"Htatsf1",72.4,102.66,0.72,68.07,0,49.36,99.41,2.21,36.41,37.56,40.57,20.44,0.19,26.5,78.16,41.61,10.8,0,81.12,28.71,47,65.86,37.8,67.18,211.14
"Htr1a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Htr1b",0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.95,0,0
"Htr1d",0,0,0,0,0,57,0,0,0,0,13.85,0,0,0,0,0,44.58,39.48,0,0,0,0,1.76,53.43,0
"Htr1f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Htr2a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.92,0,0,0
"Htr2b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.24,11.47,0,0,0,0,0,0
"Htr2c",0,0,0,8.59,0,0,0,0,0,24.21,0,0,14.6,24.86,0,0,28.71,10.65,0,0,0,0,0,68.39,0
"Htr3a",0,0,0,0,0,0,0,0,0,0,20.49,0,0,0,0,0,0,0,0,0,0,0,0,102.63,0
"Htr3b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0
"Htr4",11.83,0,0,12.98,0,0,16.28,0,0,0,0,0,0.12,0,0,0,0,0,0,0,3.48,0,5.87,0,0
"Htr5a",0,0,0,0,0,0,0,0,0,0.16,4.61,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0
"Htr5b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Htr6",0,0,0,0,56.6,0,0,0,3.31,0,27.36,0,0,0,0,0,35.28,0,3.28,0,0,0,0,0,12.86
"Htr7",0.18,90.34,0,42.43,0,0,6.88,6.36,27.75,16.72,0,31.98,0,0,0,0,58.81,0,5.1,0,0,0,41.44,0.55,0
"Htra1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0
"Htra2",22.6,17.67,0,1.23,43.24,23.65,35.65,17.25,0,26.93,24.03,48.81,13.17,0,19.96,44.05,0,10.16,0,0,23.55,18,0.27,0,0
"Htra3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0
"Htra4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Htt",0,0,0,19.59,0.27,0,2.62,0,0.7,2.53,0.97,0.32,2.3,1.07,0.98,2.79,0.41,1.57,7.89,0.17,1.91,0.73,0.61,0.16,4.22
"Hunk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5,0,0,0
"Hus1",0,0,0,19.91,0,0,0,0,0,0.21,0.05,0,0.1,16.27,0,0.07,0,0,0.4,0.08,16.06,0,22.24,0,0
"Hus1b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huwe1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HV970106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hvcn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0
"HW340515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HW340517",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HW340519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HW340521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hyal2",0,0,0,67.64,0,80.64,0,92.21,0,0,0,0,0,0,117.48,0,0,0,33.85,0,24.22,0,5.06,0,47.79
"Hyal4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hyal5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hyal6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydin",0,0,0,0,0.02,0,0.61,0,0,0,0,0,0,0,0.33,0,0,0,0.39,0,0,0,0,0,0.08
"Hyi",0,185.57,251.59,113.91,0,69.16,0,261.19,85.52,85.61,112.08,146.82,1.4,111.2,99.59,189.25,81.13,58.98,85.8,65.91,109.97,187.05,103.9,115.56,338.44
"Hykk",0,0,0,1.56,0,0,0,0,0,0,0.05,0.09,1.44,0.08,0,0,0,0,0,0.08,0,0,0,0,0.11
"Hyls1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,70.74,0,0,0,0,49.46,0,0
"Hyou1",0.64,29.42,1.39,29.03,2.13,1.48,1.33,15.19,45.95,1.71,85.55,19.1,40.12,0.81,0.61,26.05,8.64,31.82,18.81,0,97.44,35.55,5,19.26,11.43
"Hypk",318.76,194.56,296.69,272.63,214.7,120.41,159.8,267.29,185.24,188.7,145.84,269.61,293.82,116.62,173.73,238.5,143.87,170.19,189.68,180.05,131.75,193.29,255.05,203.98,372.02
"Hypm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I730028E13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I730030J21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I830012O16Rik",0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0
"I830077J02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iah1",30.48,0,0,0.22,1.91,68.12,0,0,38.35,0,1.3,32,31.83,0,0,25.2,0,67.25,14.57,55.44,17.89,22.36,0,24.9,56.27
"Iapp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iars",22.46,33.25,0,53.11,0,5.97,38.29,0,14.91,0,26.89,0,0,0,0,2.06,0,0,0,0,10.67,0,11.09,68.83,0
"Iars2",0,38.58,5.18,3.2,22.52,0,0,11.61,12.43,9.56,24.36,8.4,26.74,7.3,42.41,32.93,20.15,0,1.12,0,45.18,0,0,0,80.15
"Iba57",0,0,0,0,0,0,0,0,17.07,0,0,0,0,0,0,0,0,0,0,0,9.61,0,0,42.44,0
"Ibsp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ibtk",2.06,0,0,0.06,0,0,0,1.15,5.95,18.81,4.39,0.67,0.08,0,6.64,0,4.05,1.72,0,1.12,0.09,12.94,2.63,18.97,4.99
"Ica1",35.04,106.08,0,34.59,57.84,0,0,2.63,33.77,76.81,85.35,176.22,81.88,90.46,41.44,22.2,78.14,24.31,48.37,7.97,48.72,73.52,38.92,37.52,24.71
"Ica1l",0,2.87,0,37.96,0,0,0,25.63,0,0,8.72,0,0,12.2,9.05,11.73,33.43,1.63,0.73,29.41,35.45,0,13.8,18.11,0
"Icam1",0.14,0.31,0,0.12,0,0.25,0.2,0.12,0.25,0.52,0.07,0.3,0,0.12,0.67,0.1,0,0,0.29,0.12,0,0,0.48,0.62,0
"Icam2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icam4",53.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icam5",100.15,89.37,0,175.6,83.83,0,23.77,0,0,85.34,10.68,41.78,82.62,7.49,0,7.03,0,75.84,0,17.49,7.67,5.06,81.75,5.46,38.31
"Ice1",0,0,0,3.52,0,0,0,27.18,3.6,13.17,1.01,10.25,0,0,2.23,1.52,0,3.13,6.92,25.26,0,0,0,0,0
"Ice2",0,0,0,0,22.99,0,0.58,0,0,2.13,0,0,0,0,0,0,0,0,3.13,0,0,0,20.74,9.7,0
"Ick",0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,3.9,0,0,0,0,17.74,0
"Icmt",0,0,0,0,67.73,0,0,0,45.91,0,22.82,6.66,0,0,43.93,0,34.96,27.89,36.15,0,20.45,47.27,0,0,0
"Icos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icosl",0,0,20.54,0,0,0,0,10.74,0,0,0,0,0,0,10.59,0,0,0,22.5,0,0,0,0,0,0
"Ict1",72.42,106.94,135.63,150.28,79.52,104.78,61.9,144.33,56.84,245.59,67.76,63.95,0.77,107.12,149.27,111.39,148.22,92.8,62.85,51.96,77.32,0,80.4,165.99,300.12
"Id1",0,8.91,0,0,0,0,0,0,0,0,0,0,0,0,149.8,0,0.7,0,33.57,0,9.24,0,19.67,0,0
"Id2",3.39,124.39,0,0,0,0,173.7,54.64,88.84,0,23.17,0,0,10.1,0.77,36.37,21.73,0,120.26,117.88,0,29.71,0,68.37,104.79
"Id3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99,0,0,0,0,0,0,0,0,0,0
"Id4",0,0.55,84.63,0,45.36,179.2,44.91,48.28,20.42,0,52.45,164.03,0,0,25.22,0,0,0.47,79.81,0,0,0,0,0,54.6
"Ide",0,0,0,8.87,0,0,0.34,0,5.59,0,0,15.82,0.12,0,12.1,7.35,1.37,0,0.24,0,12.29,0,0.26,10.52,38.44
"Idh1",53.4,87.29,245.99,71.23,94.32,0,0,81.39,0,0,84.21,6.49,0.26,77.04,1.21,85.1,214.4,71.03,129.95,0,69.74,81.64,48.4,13.37,129.34
"Idh2",59.5,54.58,0,0,0,0,2.33,188.87,194.87,75.55,100.12,119.66,79.27,68.81,99.76,146.1,0,144.42,43.2,130.84,15.96,0,60.12,2.05,251.88
"Idh3a",201.37,128.13,54.27,162.08,91.34,226.31,199.99,54.72,97.58,157.74,96.33,184.63,143.36,77.19,113.63,103.34,204.59,144.24,98.83,159.79,79.28,203.85,127.53,139.53,28.44
"Idh3b",246.43,274.86,127.64,284.95,259.17,185.28,150.78,268.85,238.67,234.29,214.43,259.81,160.38,21.33,204.84,158.47,226.08,114.97,274.97,305.34,198.55,279.05,269.65,438.06,336.75
"Idh3g",304.6,232.9,275.38,201.29,249.44,210.76,204.5,388.73,141.8,303.32,215.61,332.37,264.23,110.46,320.17,150.87,105.35,196.05,248.62,214.99,157.93,176.69,211.84,264.76,528.78
"Idi1",0,49.38,0,0,0,186.54,0,3.71,5.51,0,0,0,0,0,7.38,10.48,89.78,0,36.61,0,27.88,0.29,17.99,0.31,0
"Idi2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Idnk",0,0,39.84,63.77,0,0,21.19,37.47,0,41.8,6.27,81.15,0,0,44.99,86.18,28.31,40.29,26.68,42.89,65.83,25.57,36.94,26.97,89.73
"Ido1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ido2",0,0,0,0,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,14.64,0,0,0,0
"Ids",39.34,22.14,32.39,45.26,31.9,44.32,25.39,28.97,5.9,26.69,27.93,47.6,20.13,53.63,29.82,36.64,46.2,77.77,58.7,44.85,44.54,67.57,55.99,81.44,106.47
"Idua",0,41.04,0,30.71,0,47.4,0,0,1.27,39.67,11.09,0,0,0,0,0,0,0,0,0,26.26,0,0,19.42,0
"Ier2",0,0,0,0,0,0,0,0,0,0,0,51.98,0,45.91,0,0,0,0,0,135.68,16.77,0,0,0,0
"Ier3",0,112.91,0,0,0,0,0,0,0,1.25,0,0,0,82.06,0,0,56.16,0,24.07,0,24.1,0,37.6,4.15,0
"Ier3ip1",79.23,92.6,191.29,169.02,170.07,107.09,96.48,105.76,68.1,105.73,99.89,150.87,154.82,20.45,45.59,131.74,150.17,188.89,140.5,62.64,69.74,44.58,113.04,97.48,86.88
"Ier5",34.34,22.78,0,0,0,0,0,40.45,0,0,31.29,65.32,16.1,0,39.77,38.07,0,0,4.69,28.21,10.67,49.05,0,4.15,0
"Ier5l",0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0,1.01,0,21.13,0,0,5.89,0,0
"Iffo1",25.38,41.41,0,55.4,0,0,9.63,0.18,2.6,0,0,0,31.01,0,32.74,54.62,0,0,13.26,0,16.18,0,16.51,0.29,96.99
"Iffo2",0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,8.48,0,0,9.54,0,0,0,0,0,0,0
"Ifi202b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifi203",0,0.06,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0
"Ifi204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifi27",0,0,0,0,0,0,0,0,0,0,189.52,0,150.01,0,0,0,211.31,371.72,187.82,264.97,0,276.78,0,67.96,0
"Ifi27l2a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0
"Ifi27l2b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifi30",0,0,0,0,0,0,0,0,0,0,18.65,0,0,0,0,0,0,5.64,54.8,0,0,0,2.88,0,2.32
"Ifi35",0,0,0,0,14.41,0,0,16.89,0,0,13.7,11.14,0,0,33.68,0,0,0,5.17,0,2.48,0,0,0,0
"Ifi44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifi44l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifi47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifih1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0
"Ifit1",0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0
"Ifit2",0,0,0,0,0,0,0,0,0,0,22.82,0,0,0,0,0.96,0,0,0,0,0,0.63,0,47.02,0
"Ifit3",0,0,0,0,0,0,0,34.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifitm1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifitm10",0,0,19.8,21.52,12.77,0,0,40.61,39.46,0,1.5,0,27.1,0,15.15,13.3,0,2.67,5.67,31.92,0,0,0,8.02,0
"Ifitm2",0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,24.29
"Ifitm3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifitm5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifitm6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifitm7",63.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.11,0,0,0,0,0,0,0
"Ifltd1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifna1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifna11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifna12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifna13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifna14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifna15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifna16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifna2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifna4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifna5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifna6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifna7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifna9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifnab",0,0,0,75.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifnar1",15.96,25.96,4.18,11,0,2.16,12.86,4.51,0.15,24.97,30.89,0,0.73,0.39,0,0.94,0.46,0.22,0.36,47.28,22.28,30.87,0.29,3.32,0.53
"Ifnar2",0,24.62,0,0,28.49,2.58,0,65.5,28.83,0,0,0,0,0,8.22,0,13.68,69.23,1,16.08,5.55,10.58,9.12,34.52,0
"Ifnb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifng",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifngr1",0,62.82,52.59,0,0,0,0,0.8,0,67.6,1.12,65.96,0,0,0,0,0,0,0,0,10.19,0,0,0,0
"Ifngr2",0,0,10.38,64.2,0,0,115.13,0,2.72,56.16,48.44,111.47,49.61,0,27.6,0,0,0,36.17,0,19.4,4.05,0,0,15.82
"Ifnk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifnl2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
